Site F Longitude Latitude    ve      vn   sig_ve sig_vn rho_en    t1       t2   
        (deg.E)   (deg.N) |---------- mm/yr ----------|                         
AR69 s   21.4458  40.4524   25.09   10.64   0.68   0.73 -0.036 1995.749 2000.693
ARA4 s   44.6791  39.8405   29.65   17.73   0.51   0.54 -0.006 2003.516 2009.523
ARBI s   48.2314  38.4768   31.87   21.22   0.39   0.40 -0.010 1999.784 2006.789
ARDA s   53.8223  32.3131   27.45   21.57   0.37   0.37 -0.011 1998.896 2005.740
ARDN s   42.7553  41.1260   26.69   15.16   0.27   0.30 -0.033 1998.699 2010.664
ARGA s   37.9023  37.2368   18.67   25.21   0.34   0.36 -0.052 1998.699 2008.529
ARO0 s   42.8470  11.5263   30.48   17.23   0.59   0.59 -0.023 1995.229 2003.216
ARPY s   38.7433  39.8204   10.09   21.03   0.69   0.95 -0.050 2004.758 2008.590
ARTI s   43.9545  40.6090   28.61   16.86   0.28   0.41 -0.033 1994.736 2007.753
ASAL s   36.3995  33.8787   23.31   23.78   0.59   0.59 -0.021 2001.104 2008.449
ASGF s   37.6484  32.3330   24.83   24.85   0.60   0.60 -0.017 2005.584 2010.395
ASMT s   27.2035  40.0545    5.90    3.81   0.88   0.89 -0.017 2002.934 2011.377
ASTA s   48.7965  38.6350   30.57   21.28   0.68   0.75 -0.013 2007.658 2012.877
ATKY s   36.9115  40.4469    9.10   19.66   0.89   1.00 -0.044 2004.758 2007.658
AVCI s   28.7274  40.9868   24.28   10.79   1.17   1.24 -0.053 2000.245 2003.375
AYAQ s   47.1434  40.1896   30.75   20.68   0.99   1.11 -0.024 2004.758 2008.794
AYDG s   38.7430  40.0467   19.05   15.45   0.89   1.01 -0.058 2004.758 2008.590
AYKA s   26.7000  39.3113    4.40    1.41   0.85   0.92  0.006 1994.736 1998.699
AYZC s   39.4170  36.9712   16.05   25.20   1.15   1.20 -0.058 1998.644 2002.508
BA02 s   46.8095  37.6530   29.49   23.32   0.80   0.85 -0.025 2004.758 2008.590
BA04 s   46.8705  37.7901   28.65   23.95   0.74   0.78 -0.008 2004.758 2008.649
BA05 s   46.8481  37.8735   28.35   22.86   0.78   0.82 -0.042 2004.758 2008.649
BA06 s   46.8847  37.9505   29.75   23.95   0.75   0.79 -0.014 2004.758 2008.649
BA08 s   47.1164  38.1561   31.78   22.80   1.42   1.45 -0.005 2004.710 2008.649
BADA s   48.8139  36.7644   27.00   20.86   0.87   0.87 -0.002 1999.784 2006.789
BALA s   44.7504  37.5337   23.39   24.60   1.22   0.73  0.006 2002.708 2006.789
BALI s   27.9064  39.7217    3.44    6.90   0.47   0.50 -0.038 1994.736 2011.377
BANK s   23.0680  42.7234   25.79   11.13   0.91   0.95 -0.001 1997.734 2000.693
BARR s   25.9085  31.6222   22.03   21.24   1.43   1.42 -0.024 1996.776 2002.708
BATH s   36.0913  35.2473   21.19   22.19   1.00   1.00 -0.002 2000.858 2008.449
BAV0 s   43.7820  41.1213   28.24   16.61   0.29   0.31 -0.023 1998.768 2009.523
BAV4 s   43.7819  41.1213   28.25   15.45   0.48   0.51 -0.019 2003.516 2009.523
BDMO s   20.3355  40.7478   24.57   13.36   0.95   0.92  0.075 2006.384 2009.856
BELI s   23.8921  42.5121   25.29   11.71   0.58   0.59  0.006 1997.734 2002.708
BELM s   23.7617  42.1414   24.89   11.25   0.59   0.60  0.008 1997.734 2002.708
BER1 s   19.9452  40.7077   21.33   12.92   0.71   0.75  0.011 1998.699 2002.795
BERK s   23.1379  43.1095   24.62   12.25   0.71   0.72 -0.009 1996.682 2001.610
BEUG s   42.7866  44.0113   25.65   10.97   0.32   0.57 -0.007 1994.736 2007.753
BHTL s   30.5885  36.8962    9.89    6.29   1.28   1.31  0.000 2004.710 2009.693
BIDA s   34.9743  28.4721   27.32   23.69   1.30   1.26 -0.036 2010.255 2013.081
BJAR s   47.9296  36.2320   25.53   22.51   0.33   0.34 -0.015 1999.727 2006.789
BJMI s   43.2956  41.7790   27.27   13.44   0.60   0.68 -0.097 2000.693 2007.658
BKCT s   27.0914  40.2034    6.38    3.92   0.39   0.42 -0.076 2002.934 2011.377
BLAN s   36.7540  34.9139   21.78   24.04   0.42   0.40 -0.030 2000.858 2008.449
BLOT s   29.0330  39.8992    1.95    8.10   0.37   0.40 -0.044 2002.934 2011.377
BLVR s   48.7171  39.4974   32.13   21.64   0.22   0.23 -0.033 1998.699 2012.877
BMRA s   36.3430  34.9566   20.43   23.00   0.80   0.80 -0.010 2000.858 2008.449
BNBA s   36.2038  35.0901   21.23   23.37   0.40   0.40 -0.007 2000.858 2008.449
BODR s   27.4235  37.0323    8.83  -12.71   0.64   0.64 -0.004 1994.736 1998.699
BOGS s   22.6808  42.2595   24.82   11.49   0.55   0.57 -0.023 1996.724 2001.610
BOOM s   51.8121  35.7304   25.53   18.84   0.37   0.38 -0.008 1998.896 2005.584
